section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788029172541,-170.792694,285.0,-149.512192,0.188049,0.785767,-0.411743,-16.916457708292853,-95.89275302595496
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788034110541,-174.817078,304.817078,-158.170731,0.213867,0.788696,-0.560913,-18.293835860381108,-97.54304292941077
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788039048541,-178.780487,326.280487,-163.963425,0.221619,0.763245,-0.655212,-19.710295391715192,-99.30599526190969
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788043986541,-182.317078,348.170746,-168.109756,0.198853,0.694824,-0.706177,-21.14311295007883,-101.17793961373229
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788048924541,-184.390244,369.573181,-172.012192,0.181763,0.592041,-0.715393,-22.573558118863957,-103.1500704880795
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788053862541,-183.902451,389.817078,-177.5,0.148499,0.43219,-0.705933,-23.931526386150153,-105.16809369885425
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788058800541,-181.219513,408.109772,-186.646347,0.081543,0.243469,-0.659485,-25.193106913087036,-107.05152403646287
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788063738541,-176.097565,423.597565,-199.207321,0.016479,0.053345,-0.60199,-26.48824474961023,-108.74047972259314
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788068676541,-168.658539,435.73172,-214.634155,-0.026245,-0.062256,-0.570496,-27.82796207669668,-110.420077976546
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788073614541,-160.487808,445.670746,-230.792694,-0.019958,-0.083862,-0.593994,-29.1513203722065,-112.18771358409674
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788078552541,-152.804886,455.548798,-247.5,0.005737,-0.083191,-0.661255,-30.43639743792042,-114.07016834312878
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788083490541,-145.304886,467.560974,-266.524384,0.008484,-0.097229,-0.75885,-31.67454700841418,-116.09648767407737
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788088428541,-137.073181,482.134155,-288.23172,-0.001587,-0.134766,-0.906006,-32.85954006307682,-118.28724180898598
